SA1_2018_code,GCH
7000000,R3
7000001,R3
7000003,R3
7000004,R3
7000008,R3
7000019,R3
7000026,R2
7000027,R2
7000029,R2
7000032,R2
7000033,R3
7000407,R1
7000037,R3
7000038,R3
7000042,R3
7000043,R3
7000044,R3
7000049,R3
7000052,R3
7000055,R3
7000063,R3
7000064,R3
7000065,R3
7000068,R3
7000071,R3
7000074,R2
7000075,R3
7000108,R2
7000110,R2
7000115,R2
7000116,R2
7000133,R3
7000136,R3
7000139,R2
7000141,R2
7000142,R2
7000230,R2
7000415,R3
7000144,R2
7000147,R2
7000149,R3
7000150,R3
7000154,R2
7000156,R3
7000157,R3
7000158,R3
7000159,R2
7000180,R2
7000181,R2
7000182,R2
7000183,R2
7000184,R2
7000185,R3
7000186,R3
7000187,R3
7000188,R3
7000191,R3
7000192,R3
7000193,R3
7000197,R2
7000199,R2
7000201,R2
7000202,R2
7000241,R2
7000242,R2
7000245,R2
7000416,R1
7000417,R1
7000418,R1
7000419,R1
7000420,R1
7000422,U2
7000423,U2
7000205,R2
7000207,R2
7000208,R2
7000210,R2
7000211,R2
7000219,R2
7000229,R2
7000253,R2
7000257,R2
7000258,R2
7000262,R2
7000263,R2
7000264,R2
7000265,R2
7000266,R2
7000268,R2
7000275,R2
7000283,R2
7000285,R2
7000288,R2
7000289,R2
7000290,R2
7000291,R2
7000298,R2
7000300,R2
7000301,R2
7000302,R2
7000304,R1
7000305,R1
7000306,R1
7000307,R1
7000309,R1
7000312,R1
7000410,R2
7000313,R1
7000314,R1
7000319,R1
7000320,R1
7000321,R3
7000382,R3
7000383,R3
7000388,R3
7000389,R1
7000390,U2
7000391,U2
7000392,U2
7000393,R1
7000331,R2
7000333,R2
7000334,R2
7000358,R1
7000374,R1
7000375,R1
7000376,R1
7000379,R1
7000380,R1
7000394,U2
7000403,R2
7000404,U2
7000405,R1
7000406,R2
7000424,U2
7000425,R1
7000427,U2
7000428,U2
7000434,U2
7000439,U2
7000444,U2
7000447,U2
7000456,U2
7000458,U2
7000462,U2
7000463,U2
7000744,U2
7001689,U1
7000468,U2
7000472,U2
7000473,U2
7000474,U2
7000476,U2
7000480,U2
7000481,U2
7000482,R1
7000495,R1
7000498,U2
7000501,U2
7000502,U2
7000510,U2
7000511,U2
7000512,U2
7000751,U2
7000515,U2
7000549,U2
7000553,U2
7000554,U2
7000564,U2
7000569,U2
7000583,U2
7000608,U2
7000723,U2
7000724,U2
7000737,U2
7017603,R3
7000763,U2
7000775,U2
7000779,U2
7000783,R1
7000785,U2
7000788,U2
7000789,R1
7000792,R1
7000794,R1
7000795,R1
7000796,R1
7000797,U2
7000798,R1
7000799,U2
7000802,R1
7000803,U2
7000805,U2
7000806,U2
7000809,U2
7001927,U1
7000822,U2
7000839,U2
7000840,U2
7000841,U2
7000842,U2
7000843,U2
7000844,U2
7000849,U2
7002424,U1
7000850,U2
7000851,U2
7000862,U2
7000865,U2
7000867,R1
7000875,U2
7000894,U2
7000905,U2
7000909,U2
7000910,U2
7000913,R1
7000916,R1
7000922,R1
7004526,U1
7000931,R1
7000942,R1
7000943,R1
7000948,R1
7000952,R3
7000964,R1
7001194,R1
7000965,R1
7000969,R1
7000970,R1
7000971,R1
7000975,R1
7000984,R3
7000985,R3
7000986,R2
7000990,R2
7000991,R2
7000992,R2
7000994,R2
7000996,R1
7001085,R1
7001087,R1
7001088,R1
7001089,R2
7022489,R3
7022490,R2
7000999,R2
7001000,R2
7001002,R2
7001003,R2
7001006,R3
7001137,R1
7001139,R1
7001143,R1
7001157,R1
7001158,R1
7001010,R1
7001011,R2
7001014,R1
7001015,R2
7001016,R2
7001017,R1
7001045,R1
7001049,R2
7001053,R2
7001054,R2
7001055,R2
7001056,R2
7001057,R2
7001060,R2
7001061,R3
7001162,R1
7001345,R1
7015645,U2
7001062,R2
7001065,R2
7001066,R2
7001067,R2
7001069,R2
7001070,R2
7001073,R1
7001078,R1
7001079,R1
7001080,R2
7001081,R2
7001082,R2
7001092,R2
7001096,R2
7001099,R2
7001104,R2
7001114,R2
7001115,R2
7001127,R3
7001128,R3
7001129,R3
7001130,R3
7001131,R3
7001132,R3
7001136,R3
7001173,R3
7001175,R2
7001181,R1
7001183,R1
7001184,R1
7001185,R1
7001186,R1
7001187,R1
7001792,U1
7001208,R1
7001232,R1
7001236,R1
7001248,R1
7001250,R1
7001251,R1
7001256,R1
7001257,R1
7001264,R1
7001267,U1
7001285,U2
7001298,U2
7001308,U2
7001309,U2
7001311,U2
7001312,R1
7001317,U1
7001346,R1
7001348,R1
7001349,R1
7001351,R1
7001321,R1
7001329,R1
7001331,R1
7001340,R1
7001352,R1
7001353,R2
7001354,R2
7001355,U1
7001362,U1
7001368,R1
7001370,U1
7001371,R1
7001374,U1
7001385,U2
7001386,U2
7001388,U1
7001393,U1
7001402,U1
7001414,U1
7001415,U1
7001416,U1
7001425,U1
7001434,U1
7001446,U1
7001671,U1
7001458,U1
7001468,U1
7001473,U1
7001518,U1
7001519,U1
7001520,U1
7001525,U1
7001544,U1
7001545,U1
7001546,U1
7001547,U1
7001679,U1
7001555,U1
7001569,U1
7001570,U1
7001572,U1
7001627,U1
7001647,U1
7001668,U1
7001669,U1
7001670,U1
7001714,U1
7001716,U1
7001723,U1
7001724,U1
7001725,U1
7001726,U1
7001727,U1
7001742,U1
7001754,U1
7001756,U1
7001798,U1
7001759,U1
7001769,U1
7001783,U1
7001784,U1
7001816,U1
7001825,U1
7001948,U1
7001958,U1
7002007,U1
7002054,U1
7002110,U1
7002111,U1
7002119,U1
7002135,U1
7002136,U1
7002138,U1
7004582,U1
7002144,U1
7002145,U1
