run,name,summarise_count,summarise_distinct,summarise_sum,entity_join,rounding,ent_1_threshold,ent_2_threshold,ent_3_threshold,USE_POPULATION_DEF,series_name,bespoke_age,age_col,one_RDP_age_cat,max_qt
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,FALSE,NA,NA,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_8MO,1,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_5YO,2,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_25YO,4,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_45YO,5,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_65YO,6,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_0_2YO,1,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_3_4YO,1,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_2YO,1,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_compulsory_school,NA,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_school_aged,NA,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_GE15,NA,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_18_24,3,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_25_39,4,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_40_54,NA,2024Q1
FALSE,POPULATION,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,POPULATION,TRUE,AGE_55_64,5,2024Q1
FALSE,pho_enrollment,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,pho_enrollment,FALSE,NA,NA,2023Q1
FALSE,B4SC__check_referral,FALSE,TRUE,FALSE,FALSE,RR3,NA,NA,NA,TRUE,B4SC__check_referral,TRUE,AGE_5YO,2,2023Q2
FALSE,ECE_HRS_WK__any,FALSE,TRUE,FALSE,TRUE,RR3,2,NA,NA,TRUE,ECE_HRS_WK__any,TRUE,AGE_RDP,1,NA
FALSE,ECE_HRS_WK__20,FALSE,TRUE,FALSE,TRUE,RR3,2,NA,NA,TRUE,ECE_HRS_WK__20,TRUE,AGE_RDP,1,NA
FALSE,ECE_HRS_WK__00_10,FALSE,TRUE,FALSE,TRUE,RR3,2,NA,NA,TRUE,ECE_HRS_WK__00_10,TRUE,AGE_RDP,1,NA
FALSE,ECE_HRS_WK__10_20,FALSE,TRUE,FALSE,TRUE,RR3,2,NA,NA,TRUE,ECE_HRS_WK__10_20,TRUE,AGE_RDP,1,NA
FALSE,ECE_HRS_WK__20_30,FALSE,TRUE,FALSE,TRUE,RR3,2,NA,NA,TRUE,ECE_HRS_WK__20_30,TRUE,AGE_RDP,1,NA
FALSE,ECE_HRS_WK__30,FALSE,TRUE,FALSE,TRUE,RR3,2,NA,NA,TRUE,ECE_HRS_WK__30,TRUE,AGE_RDP,1,NA
