run,prefix,series_name,rundate,summarisation_type,res_pop,second_run,other_superset_prefix,age_rdp,bespoke_age,rounding
FALSE,1,POPULATION,20240711,counts,FALSE,FALSE,NULL,NULL,FALSE,RR3
FALSE,2,POPULATION,20240711,counts,TRUE,FALSE,NULL,1,TRUE,RR3
FALSE,3,POPULATION,20240711,counts,TRUE,FALSE,NULL,2,TRUE,RR3
FALSE,4,POPULATION,20240711,counts,TRUE,FALSE,NULL,4,TRUE,RR3
FALSE,5,POPULATION,20240711,counts,TRUE,FALSE,NULL,5,TRUE,RR3
FALSE,6,POPULATION,20240711,counts,TRUE,FALSE,NULL,6,TRUE,RR3
FALSE,7,POPULATION,20240711,counts,TRUE,FALSE,NULL,1,TRUE,RR3
FALSE,8,POPULATION,20240711,counts,TRUE,FALSE,NULL,1,TRUE,RR3
FALSE,9,POPULATION,20240711,counts,TRUE,FALSE,NULL,1,TRUE,RR3
FALSE,10,POPULATION,20240711,counts,TRUE,FALSE,NULL,NULL,TRUE,RR3
FALSE,11,POPULATION,20240711,counts,TRUE,FALSE,NULL,NULL,TRUE,RR3
FALSE,12,POPULATION,20240711,counts,TRUE,FALSE,NULL,NULL,TRUE,RR3
FALSE,13,POPULATION,20240711,counts,TRUE,FALSE,NULL,3,TRUE,RR3
FALSE,14,POPULATION,20240711,counts,TRUE,FALSE,NULL,4,TRUE,RR3
FALSE,15,POPULATION,20240711,counts,TRUE,FALSE,NULL,NULL,TRUE,RR3
FALSE,16,POPULATION,20240711,counts,TRUE,FALSE,NULL,5,TRUE,RR3
FALSE,17,pho_enrollment,20240716,counts,TRUE,FALSE,NULL,NULL,FALSE,RR3
FALSE,18,B4SC__check_referral,20240716,counts,FALSE,FALSE,3,2,TRUE,RR3
FALSE,19,ECE_HRS_WK__any,20240715,counts,TRUE,FALSE,NA,1,TRUE,RR3
FALSE,20,ECE_HRS_WK__20,20240715,counts,FALSE,FALSE,19,1,TRUE,RR3
FALSE,21,ECE_HRS_WK__00_10,20240715,counts,FALSE,FALSE,19,1,TRUE,RR3
FALSE,22,ECE_HRS_WK__10_20,20240715,counts,FALSE,FALSE,19,1,TRUE,RR3
FALSE,23,ECE_HRS_WK__20_30,20240715,counts,FALSE,FALSE,20,1,TRUE,RR3
FALSE,24,ECE_HRS_WK__30,20240715,counts,FALSE,FALSE,20,1,TRUE,RR3
FALSE,25,ECE_HRS_WK__any,20240715,counts,FALSE,FALSE,7,1,TRUE,RR3
FALSE,26,ECE_HRS_WK__20,20240715,counts,FALSE,FALSE,25,1,TRUE,RR3
FALSE,27,ECE_HRS_WK__00_10,20240715,counts,FALSE,FALSE,25,1,TRUE,RR3
FALSE,28,ECE_HRS_WK__10_20,20240715,counts,FALSE,FALSE,25,1,TRUE,RR3
FALSE,29,ECE_HRS_WK__20_30,20240715,counts,FALSE,FALSE,26,1,TRUE,RR3
FALSE,30,ECE_HRS_WK__30,20240715,counts,FALSE,FALSE,26,1,TRUE,RR3
FALSE,31,ECE_HRS_WK__any,20240715,counts,FALSE,FALSE,8,1,TRUE,RR3
